====================
Model: SRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 146] train_loss=0.0028 | train_psnr=28.83 dB | val_loss=0.0019 | val_psnr=29.57 dB | time=1.8s
[Epoch 147] train_loss=0.0027 | train_psnr=28.86 dB | val_loss=0.0019 | val_psnr=29.58 dB | time=1.8s
[Epoch 148] train_loss=0.0027 | train_psnr=28.81 dB | val_loss=0.0018 | val_psnr=29.59 dB | time=1.8s
[Epoch 149] train_loss=0.0027 | train_psnr=28.82 dB | val_loss=0.0018 | val_psnr=29.60 dB | time=1.8s
[Epoch 150] train_loss=0.0028 | train_psnr=28.65 dB | val_loss=0.0018 | val_psnr=29.59 dB | time=1.8s
[Epoch 151] train_loss=0.0027 | train_psnr=28.88 dB | val_loss=0.0018 | val_psnr=29.60 dB | time=1.8s
[Epoch 152] train_loss=0.0027 | train_psnr=28.84 dB | val_loss=0.0018 | val_psnr=29.62 dB | time=1.8s
[Epoch 153] train_loss=0.0027 | train_psnr=28.89 dB | val_loss=0.0018 | val_psnr=29.61 dB | time=1.8s
[Epoch 154] train_loss=0.0027 | train_psnr=28.73 dB | val_loss=0.0018 | val_psnr=29.63 dB | time=1.8s
[Epoch 155] train_loss=0.0027 | train_psnr=28.91 dB | val_loss=0.0018 | val_psnr=29.64 dB | time=1.8s
[Epoch 156] train_loss=0.0026 | train_psnr=28.93 dB | val_loss=0.0018 | val_psnr=29.63 dB | time=1.8s
[Epoch 157] train_loss=0.0027 | train_psnr=28.85 dB | val_loss=0.0018 | val_psnr=29.65 dB | time=1.8s
[Epoch 158] train_loss=0.0026 | train_psnr=28.95 dB | val_loss=0.0018 | val_psnr=29.65 dB | time=1.8s
[Epoch 159] train_loss=0.0027 | train_psnr=28.92 dB | val_loss=0.0018 | val_psnr=29.66 dB | time=1.8s
[Epoch 160] train_loss=0.0028 | train_psnr=28.78 dB | val_loss=0.0018 | val_psnr=29.64 dB | time=1.8s
[Epoch 161] train_loss=0.0026 | train_psnr=29.00 dB | val_loss=0.0018 | val_psnr=29.63 dB | time=1.8s
[Epoch 162] train_loss=0.0026 | train_psnr=28.94 dB | val_loss=0.0018 | val_psnr=29.68 dB | time=1.7s
[Epoch 163] train_loss=0.0027 | train_psnr=28.92 dB | val_loss=0.0018 | val_psnr=29.68 dB | time=1.7s
[Epoch 164] train_loss=0.0027 | train_psnr=28.83 dB | val_loss=0.0018 | val_psnr=29.68 dB | time=1.8s
[Epoch 165] train_loss=0.0026 | train_psnr=29.03 dB | val_loss=0.0018 | val_psnr=29.69 dB | time=1.8s
[Epoch 166] train_loss=0.0027 | train_psnr=28.85 dB | val_loss=0.0018 | val_psnr=29.70 dB | time=1.8s
[Epoch 167] train_loss=0.0026 | train_psnr=28.93 dB | val_loss=0.0018 | val_psnr=29.70 dB | time=1.8s
[Epoch 168] train_loss=0.0026 | train_psnr=28.96 dB | val_loss=0.0018 | val_psnr=29.71 dB | time=1.8s
[Epoch 169] train_loss=0.0026 | train_psnr=29.06 dB | val_loss=0.0018 | val_psnr=29.71 dB | time=1.8s
[Epoch 170] train_loss=0.0026 | train_psnr=28.90 dB | val_loss=0.0018 | val_psnr=29.72 dB | time=1.8s
[Epoch 171] train_loss=0.0026 | train_psnr=28.88 dB | val_loss=0.0018 | val_psnr=29.72 dB | time=1.8s
[Epoch 172] train_loss=0.0026 | train_psnr=29.01 dB | val_loss=0.0018 | val_psnr=29.73 dB | time=1.8s
[Epoch 173] train_loss=0.0025 | train_psnr=29.04 dB | val_loss=0.0018 | val_psnr=29.73 dB | time=1.7s
[Epoch 174] train_loss=0.0026 | train_psnr=29.02 dB | val_loss=0.0018 | val_psnr=29.74 dB | time=1.8s
[Epoch 175] train_loss=0.0026 | train_psnr=28.95 dB | val_loss=0.0018 | val_psnr=29.75 dB | time=1.9s
[Epoch 176] train_loss=0.0026 | train_psnr=28.91 dB | val_loss=0.0018 | val_psnr=29.74 dB | time=1.8s
[Epoch 177] train_loss=0.0026 | train_psnr=28.92 dB | val_loss=0.0018 | val_psnr=29.74 dB | time=1.8s
[Epoch 178] train_loss=0.0026 | train_psnr=29.01 dB | val_loss=0.0018 | val_psnr=29.74 dB | time=1.8s
[Epoch 179] train_loss=0.0026 | train_psnr=28.96 dB | val_loss=0.0018 | val_psnr=29.76 dB | time=1.8s
[Epoch 180] train_loss=0.0026 | train_psnr=28.91 dB | val_loss=0.0018 | val_psnr=29.77 dB | time=1.8s
[Epoch 181] train_loss=0.0025 | train_psnr=29.21 dB | val_loss=0.0018 | val_psnr=29.78 dB | time=1.7s
[Epoch 182] train_loss=0.0026 | train_psnr=28.91 dB | val_loss=0.0018 | val_psnr=29.78 dB | time=1.8s
[Epoch 183] train_loss=0.0026 | train_psnr=28.99 dB | val_loss=0.0017 | val_psnr=29.78 dB | time=1.8s
[Epoch 184] train_loss=0.0025 | train_psnr=29.01 dB | val_loss=0.0017 | val_psnr=29.79 dB | time=1.8s
[Epoch 185] train_loss=0.0026 | train_psnr=28.96 dB | val_loss=0.0017 | val_psnr=29.79 dB | time=1.8s
[Epoch 186] train_loss=0.0025 | train_psnr=29.11 dB | val_loss=0.0017 | val_psnr=29.80 dB | time=1.8s
[Epoch 187] train_loss=0.0026 | train_psnr=28.96 dB | val_loss=0.0017 | val_psnr=29.80 dB | time=1.8s
[Epoch 188] train_loss=0.0025 | train_psnr=29.04 dB | val_loss=0.0017 | val_psnr=29.81 dB | time=1.8s
[Epoch 189] train_loss=0.0025 | train_psnr=29.13 dB | val_loss=0.0017 | val_psnr=29.81 dB | time=1.8s
[Epoch 190] train_loss=0.0026 | train_psnr=29.05 dB | val_loss=0.0017 | val_psnr=29.81 dB | time=1.9s
[Epoch 191] train_loss=0.0026 | train_psnr=29.01 dB | val_loss=0.0017 | val_psnr=29.82 dB | time=1.8s
[Epoch 192] train_loss=0.0025 | train_psnr=29.13 dB | val_loss=0.0017 | val_psnr=29.81 dB | time=1.8s
[Epoch 193] train_loss=0.0026 | train_psnr=28.96 dB | val_loss=0.0017 | val_psnr=29.83 dB | time=1.8s
[Epoch 194] train_loss=0.0025 | train_psnr=29.15 dB | val_loss=0.0017 | val_psnr=29.82 dB | time=1.8s
[Epoch 195] train_loss=0.0025 | train_psnr=29.17 dB | val_loss=0.0017 | val_psnr=29.82 dB | time=1.8s
[Epoch 196] train_loss=0.0025 | train_psnr=29.04 dB | val_loss=0.0017 | val_psnr=29.84 dB | time=1.8s
[Epoch 197] train_loss=0.0025 | train_psnr=29.08 dB | val_loss=0.0017 | val_psnr=29.84 dB | time=1.8s
[Epoch 198] train_loss=0.0025 | train_psnr=29.13 dB | val_loss=0.0017 | val_psnr=29.85 dB | time=1.8s
[Epoch 199] train_loss=0.0024 | train_psnr=29.20 dB | val_loss=0.0017 | val_psnr=29.85 dB | time=2.0s
[Epoch 200] train_loss=0.0025 | train_psnr=29.01 dB | val_loss=0.0017 | val_psnr=29.86 dB | time=1.8s
[Epoch 201] train_loss=0.0025 | train_psnr=29.06 dB | val_loss=0.0017 | val_psnr=29.84 dB | time=1.8s
[Epoch 202] train_loss=0.0025 | train_psnr=28.97 dB | val_loss=0.0017 | val_psnr=29.86 dB | time=1.9s
[Epoch 203] train_loss=0.0025 | train_psnr=29.09 dB | val_loss=0.0017 | val_psnr=29.87 dB | time=1.8s
[Epoch 204] train_loss=0.0024 | train_psnr=29.13 dB | val_loss=0.0017 | val_psnr=29.87 dB | time=1.8s
